date,Mkt.RF,SMB,HML,RMW,CMA,RF,CAT,IBM,MS,BHP,SAM,DD,GE,XOM,CSCO
28/05/2004,0.02,-0.06,0.12,-0.15,0.12,0.003,0.239100935,0,-1.004148912,-0.404991048,-2.021317847,0.05014133,-0.44887821,-0.27708549,-0.757072833
1/06/2004,0.14,0.69,-0.07,-0.02,-0.06,0.004,0.806312583,-0.531877972,-0.336947185,-0.174035565,0.104662487,-0.754731942,-0.257380234,1.035086414,-0.582812364
2/06/2004,0.31,-0.2,-0.15,0.33,-0.15,0.004,0.603776824,-0.159055189,-0.093760574,-2.231471066,1.865333829,1.777056434,0.193126563,0.182899289,0.761468657
3/06/2004,-0.9,-0.86,-0.04,0.62,-0.69,0.004,-1.675796709,-0.718622852,-2.431780402,-2.343135908,1.275202182,-4.724107894,-0.32203892,-0.526712516,-0.268110576
4/06/2004,0.57,0.32,0.11,-0.49,0.48,0.004,0.464639212,0.240122493,1.961467767,1.687776603,-0.406298172,2.033809456,0.739174776,-0.414187698,1.905683394
7/06/2004,1.57,0.24,0.36,-0.13,-0.03,0.004,2.872219157,1.225870037,2.99076564,4.442596863,0.5582354,1.467248252,1.430644392,1.442155187,4.757698966
8/06/2004,0.08,-0.19,-0.08,0.21,0,0.004,-0.749215364,1.567078282,-0.146466366,-1.150133101,0.202219488,-0.075319612,-0.665086903,-0.250340404,-0.629872108
9/06/2004,-1.04,-0.4,-0.03,0.87,-0.42,0.004,-2.255583924,0.055529843,-1.217062431,-3.952120711,3.863784321,-0.1257536,-0.925766604,-1.007525129,-0.761106816
10/06/2004,0.36,-0.23,0.37,0.21,-0.05,0.004,0.264929524,0.409879472,-1.250814432,2.025099376,0.581401817,0.326574367,0.989317447,1.212379865,1.097539745
14/06/2004,-1.05,-0.66,-0.57,0.5,-0.32,0.004,-1.117309976,-0.432073028,-1.91567419,-2.266083346,0.24124981,-1.084318705,0.253696462,-0.296025081,-2.121420447
15/06/2004,0.71,1.02,0.2,-0.21,0.32,0.004,0.839110211,0.52045064,-2.109404399,2.501649094,0.911500652,-0.53389144,0.757322705,0.523188933,1.362873705
16/06/2004,0.14,0.24,-0.06,-0.01,-0.22,0.004,-1.847421205,-0.176860352,1.956070057,-1.183442778,0.095455855,-0.025521003,0.938728712,1.463780331,1.010061435
17/06/2004,-0.14,0.11,0.07,0.66,-0.41,0.004,0.95473909,0.066343421,-1.002281906,1.065729268,-0.958775345,-0.434364047,0.775544466,0.089414132,-2.201592851
18/06/2004,0.19,-0.16,0.19,-0.03,0.11,0.004,-0.402266754,-0.420987899,0.05808703,1.170933374,-1.1628038,2.428642339,0.677515956,0.46794989,0.256545395
21/06/2004,-0.42,0.14,0.13,0.48,-0.12,0.004,0.749676838,-0.634985071,-0.777460471,0.290631345,-0.195122013,-0.677121512,0.061376364,-0.557364022,-2.376450928
22/06/2004,0.38,0.16,0.07,-0.37,0.45,0.004,2.202785804,0.590504821,1.740859942,-1.402715747,-1.080030135,-0.176328019,0.763942805,0.379324196,1.518770099
23/06/2004,0.9,0.48,0.21,-0.58,0.43,0.004,1.604817069,0.851727933,0.668873107,0.995629743,-0.296584491,2.686072788,1.720289616,1.239568856,3.178947415
24/06/2004,-0.23,0.08,0.16,0.05,-0.29,0.004,1.541558553,-0.885022803,0.588767982,1.388890732,3.167129433,-0.78838099,0.150379087,-0.418852385,-1.217249709
25/06/2004,-0.23,1.22,0.09,-0.68,0.29,0.004,-1.208301057,-0.49017002,-0.70314859,0.515932752,0.621565472,-0.272421703,-3.331093176,-2.27889777,-1.061293175
28/06/2004,-0.25,-0.05,-0.07,0.4,-0.41,0.004,-0.861052146,-0.942469747,-0.229040349,-0.803671369,-0.3820444,0.386935708,0.403161111,0.293295445,-0.55640786
29/06/2004,0.31,0.5,-0.07,-0.35,0.4,0.004,1.714708637,-0.474590815,0.095525739,-0.578059557,-2.912832218,1.948989079,0.061905875,0.427242504,1.744328516
30/06/2004,0.48,0.12,0.34,-0.37,0.21,0.004,0.783530502,-0.158673785,0.760867413,1.55309433,-0.791299915,-0.563554964,0.216267054,-0.359648732,-0.042159657
1/07/2004,-1.06,-0.4,0.54,0.74,-0.67,0.005,-1.598828155,-0.740085189,-2.242106095,-0.114217759,-0.298354281,-2.412148953,-1.21097769,0.404520142,-2.520933898
2/07/2004,-0.28,0.26,0.39,0.29,-0.17,0.005,-1.885142032,-0.527110212,0.135548566,1.136373249,0.447205714,-0.83406907,-1.067870642,0.291103105,-0.694805071
6/07/2004,-0.94,-0.7,0.91,1.39,-0.58,0.005,0.013073669,-1.551538609,-1.344377417,1.402562168,-0.646602585,-1.097380008,0.503941337,0.846163343,-2.559701867
7/07/2004,0.15,-0.34,0.21,0.17,0.13,0.005,0.998467889,-0.409201237,-1.689755664,2.476008446,-0.29985529,1.22418797,0.595115466,0.5968715,0.223273679
8/07/2004,-0.96,-0.89,0.25,0.66,-0.06,0.005,-1.259469657,-2.011924892,-0.120315906,-0.928162471,-1.157828187,-1.04473569,-1.004337363,-0.110263912,-1.12137445
9/07/2004,0.31,0.17,-0.16,-0.16,0.23,0.005,0.716082509,0.286497983,0.360639912,1.578261412,0.252839585,0.28136717,1.471722874,0.28642886,0.853371036
12/07/2004,0.04,-0.38,0.37,0.64,-0.34,0.005,1.480913693,0.250022194,0.67768976,0.377236848,0.252211994,0.560386022,1.327794456,-0.022026714,-0.313536937
13/07/2004,0.09,0.04,0.18,0.12,-0.18,0.005,1.320670824,1.358190025,-1.682753143,0.375864833,0.25157246,-0.585913304,0.733500138,-0.507450265,-0.675187188
14/07/2004,-0.33,-0.26,0.41,0.25,-0.22,0.005,-0.620078384,-1.322522362,-0.83169646,-1.240258993,0.501254182,-0.153417188,0.879203419,0.551514876,-0.180856068
15/07/2004,-0.32,0.65,0.12,-0.05,0.18,0.005,0.783894576,-0.130828488,-2.328802641,0.541114122,2.078253918,-0.025661192,0.721778337,-0.308466757,0.135648844
16/07/2004,-0.56,-0.59,0.63,0.82,-0.21,0.005,-1.505111278,0.308992742,-1.873184839,1.286896457,-1.331052434,0.94265041,-0.842595563,1.11906583,-2.748665161
19/07/2004,-0.12,-0.16,0.55,0.43,0.14,0.005,0.48723298,1.202990786,0.804068097,0.053249704,-0.397812558,-0.482950997,0.422205039,0.15256846,-0.792788398
20/07/2004,0.83,0.79,-0.75,-0.64,0.29,0.005,-0.153590157,1.234990526,2.106254127,-1.070671693,3.572677582,0.634947054,-0.060209226,0,2.405345351
21/07/2004,-1.49,-1.05,0.7,1.09,-0.68,0.005,-1.445027238,-1.234990526,-1.22497035,-2.341508521,0.096112456,-0.151996057,-1.853882144,-1.603145292,-3.298814155
22/07/2004,0.14,-0.56,-0.6,-0.39,0,0.005,-4.546261245,0.887031725,1.059736599,-0.607902028,-3.668790038,-1.687632014,0.855256888,0.485839232,1.03385336
23/07/2004,-1.03,-0.28,0.64,0.65,-0.09,0.005,-0.422483223,-1.416016772,-0.788578651,-2.128929375,1.287146483,-0.517053516,-1.100984409,-0.154328229,-2.174007273
26/07/2004,-0.39,-0.66,0.13,0.64,-0.12,0.005,-0.850346016,0.282460048,-1.25784371,0.226239092,-1.586547904,-0.44163102,-0.647833843,0.022032762,-1.880935878
27/07/2004,1.1,0.91,-0.66,-0.56,0.08,0.005,-0.594051504,0.924144092,2.602936191,0.899896312,6.012474677,1.729327332,1.505216178,0.176336364,0.824253503
28/07/2004,-0.09,-0.55,0.24,0.43,-0.17,0.005,1.73083635,-0.034954914,0.307877655,0.669653302,3.377605361,0.815505028,1.482806205,0.877011781,-1.019177165
29/07/2004,0.66,0.87,-0.44,-0.63,0.2,0.005,0.678616246,1.065956183,2.229058465,0.9961109,-0.364631215,2.753613468,-0.240578874,0.479068088,1.452803682
30/07/2004,0.14,0.17,-0.31,-0.38,0.29,0.005,-0.597006508,0.34514061,-1.148854951,1.746751714,4.81376356,-1.517657987,0.120362109,0.58489886,0.575274867
2/08/2004,0.36,-0.39,0.2,0.32,0.06,0.005,-0.532002797,-0.43738192,0.303619441,-0.108258083,1.382904523,0.475187083,0.030082337,-0.108047913,1.518071995
3/08/2004,-0.75,-0.72,0.77,0.73,-0.27,0.005,-1.961686257,-1.136893993,-0.344180953,1.452017537,-1.078759159,-0.826733798,-1.179539789,1.374291266,-2.382233498
4/08/2004,-0.2,-0.02,0,0.24,0.41,0.005,0.027892691,0.302903263,-0.569456988,-0.804070849,1.335947471,0.976375144,0.030470087,-1.395905406,1.815657032
5/08/2004,-1.63,-0.18,0.47,-0.22,0.03,0.005,-2.943911915,-0.911453808,-1.998181166,-0.919175254,-3.529017917,-2.013212946,-2.027767811,-0.890619972,-2.444377278
